term,slug,parent,meta_position,full-slug,id
JR京浜東北線,jr-keihin-tohoku,0,0,,1
大宮,omiya,JR京浜東北線,1,jr-keihin-tohoku-omiya,2
さいたま新都心,saitama-shintoshin,JR京浜東北線,2,jr-keihin-tohoku-saitama-shintoshin,3
与野,yono,JR京浜東北線,3,jr-keihin-tohoku-yono,4
北浦和,kita-urawa,JR京浜東北線,4,jr-keihin-tohoku-kita-urawa,5
浦和,urawa,JR京浜東北線,5,jr-keihin-tohoku-urawa,6
南浦和,minami-urawa,JR京浜東北線,6,jr-keihin-tohoku-minami-urawa,7
蕨,warabi,JR京浜東北線,7,jr-keihin-tohoku-warabi,8
西川口,nishi-kawaguchi,JR京浜東北線,8,jr-keihin-tohoku-nishi-kawaguchi,9
川口,kawaguchi,JR京浜東北線,9,jr-keihin-tohoku-kawaguchi,10
赤羽,akabane,JR京浜東北線,10,jr-keihin-tohoku-akabane,11
JR埼京線,jr-saikyo,0,0,,12
川越,kawagoe,JR埼京線,1,jr-saikyo-kawagoe,13
南古谷,minami-furuya,JR埼京線,2,jr-saikyo-minami-furuya,14
指扇,sashiogi,JR埼京線,3,jr-saikyo-sashiogi,15
日進,nisshinn,JR埼京線,4,jr-saikyo-nisshinn,16
大宮,omiya,JR埼京線,5,jr-saikyo-omiya,17
北与野,kita-yono,JR埼京線,6,jr-saikyo-kita-yono,18
与野本町,yonohommachi,JR埼京線,7,jr-saikyo-yonohommachi,19
南与野,minami-yono,JR埼京線,8,jr-saikyo-minami-yono,20
中与野,naka-yono,JR埼京線,9,jr-saikyo-naka-yono,21
武蔵浦和,musashi-urawa,JR埼京線,10,jr-saikyo-musashi-urawa,22
北戸田,kita-toda,JR埼京線,11,jr-saikyo-kita-toda,23
戸田,toda,JR埼京線,12,jr-saikyo-toda,24
戸田公園,todakoen,JR埼京線,13,jr-saikyo-todakoen,25
浮間舟渡,ukimafunado,JR埼京線,14,jr-saikyo-ukimafunado,26
北赤羽,kita-akabane,JR埼京線,15,jr-saikyo-kita-akabane,27
赤羽,akabane,JR埼京線,16,jr-saikyo-akabane,28
JR高崎線,jr-takasaki,0,0,,29
熊谷,kumagaya,JR高崎線,1,jr-takasaki-kumagaya,30
行田,gyouda,JR高崎線,2,jr-takasaki-gyouda,31
吹上,fukiage,JR高崎線,3,jr-takasaki-fukiage,32
北鴻巣,kita-konosu,JR高崎線,4,jr-takasaki-kita-konosu,33
鴻巣,konosu,JR高崎線,5,jr-takasaki-konosu,34
北本,kitamoto,JR高崎線,6,jr-takasaki-kitamoto,35
桶川,okegawa,JR高崎線,7,jr-takasaki-okegawa,36
北上尾,kita-ageo,JR高崎線,8,jr-takasaki-kita-ageo,37
上尾,ageo,JR高崎線,9,jr-takasaki-ageo,38
宮原,miyahara,JR高崎線,10,jr-takasaki-miyahara,39
大宮,omiya,JR高崎線,11,jr-takasaki-omiya,40
さいたま新都心,saitama-shintoshin,JR高崎線,12,jr-takasaki-saitama-shintoshin,41
浦和,urawa,JR高崎線,13,jr-takasaki-urawa,42
赤羽,akabane,JR高崎線,14,jr-takasaki-akabane,43
JR宇都宮線,jr-utsunomiya,0,0,,44
栗橋,kurihashi,JR宇都宮線,1,jr-utsunomiya-kurihashi,45
東鷲宮,higashi-washinomiya,JR宇都宮線,2,jr-utsunomiya-higashi-washinomiya,46
久喜,kuki,JR宇都宮線,3,jr-utsunomiya-kuki,47
